SearchName,Number,Transcript,Speaker,Corpus,Line,LineEnd,MatchId,URL,Before Match,Text,After Match,Match word,Target word,Target word start,Target word end,Match orthography,Target orthography
_^(let)$_^(me)$,1,CB01interview3.eaf,Barbara Johnstone,PSSP,314.166,322.821,g_97;em_12_30676;n_401958-n_401959;p_11;#=ew_2_201158;prefix=01-;[0]=ew_0_207006;[1]=ew_0_207007,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=97#ew_0_207006,hmm,let me,uh,let me,let,,,let me,let
_^(let)$_^(me)$,2,CB01interview3.eaf,Barbara Johnstone,PSSP,517.658,521.148,g_97;em_12_30811;n_402088-n_402089;p_11;#=ew_2_201831;prefix=02-;[0]=ew_0_207678;[1]=ew_0_207679,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=97#ew_0_207678,so,let me,j~,let me,let,,,let me,let
_^(let)$_^(me)$,3,CB08interview3.eaf,Barbara Johnstone,PSSP,0.0,7.29,g_107;em_12_33776;n_526296-n_526298;p_11;#=ew_2_219690;prefix=03-;[0]=ew_0_225538;[1]=ew_0_225539,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=107#ew_0_225538,,let me,just,let me,let,,,let me,let
_^(let)$_^(me)$,4,CB08interview3.eaf,Barbara Johnstone,PSSP,7.29,11.98,g_107;em_12_33777;n_526298-n_526299;p_11;#=ew_2_219717;prefix=04-;[0]=ew_0_225565;[1]=ew_0_225566,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=107#ew_0_225565,um,let me,ask,let me,,,,let me,let
_^(let)$_^(me)$,5,CB10interview4.eaf,Barbara Johnstone,PSSP,420.046,429.334,g_66;em_12_20619;n_305026-n_305027;p_11;#=ew_2_142771;prefix=05-;[0]=ew_0_144463;[1]=ew_0_144464,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=66#ew_0_144463,y~,let me,just,let me,let,,,let me,let
_^(let)$_^(me)$,6,LV04interview1.eaf,Barbara Johnstone,PSSP,1219.483,1219.9,g_91;em_12_27799;n_374102-n_374104;p_11;#=ew_2_185963;prefix=06-;[0]=ew_0_191811;[1]=ew_0_191812,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=91#ew_0_191811,,let me,ask,let me,,,,let me,let
_^(let)$_^(me)$,7,LV04interview1.eaf,Barbara Johnstone,PSSP,1222.303,1231.252,g_91;em_12_27805;n_374108-n_374109;p_11;#=ew_2_185979;prefix=07-;[0]=ew_0_191827;[1]=ew_0_191828,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=91#ew_0_191827,imagine -,let me,just .,let me,let,,,let me,let
_^(let)$_^(me)$,8,LV04interview2.eaf,Barbara Johnstone,PSSP,739.126,747.989,g_92;em_12_28464;n_381532-n_381533;p_11;#=ew_2_189858;prefix=08-;[0]=ew_0_195138;[1]=ew_0_195139,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=92#ew_0_195138,hmm,let me,give,let me,let,,,let me,let
_^(let)$_^(me)$,9,LV08and09interview6.eaf,Barbara Johnstone,PSSP,11.006,11.448,g_105;em_12_33172;n_520615-n_520616;p_11;#=ew_2_216471;prefix=09-;[0]=ew_0_222319;[1]=ew_0_222320,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=105#ew_0_222319,so,let me,just,let me,let,,,let me,let
_^(let)$_^(me)$,10,LV08and09interview6.eaf,Barbara Johnstone,PSSP,136.006,138.148,g_105;em_12_33263;n_520689-n_520691;p_11;#=ew_2_216874;prefix=10-;[0]=ew_0_222718;[1]=ew_0_222719,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=105#ew_0_222718,so,let me,uh,let me,let,,,let me,let
_^(let)$_^(me)$,11,HD05interview1.eaf,HD05,PSSP,198.32,200.72,g_108;em_12_34293;n_529886-n_529887;p_93;#=ew_2_222690;prefix=11-;[0]=ew_0_228538;[1]=ew_0_228539,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=108#ew_0_228538,guy,let me,get,let me,let,198.87,199.03,let me,let
